min_score,max_rent,rent,apt_score
5,482,0,
5,482,0,
5,482,0,
4,482,0,
4,482,0,
5,483,0,
1,483,115,2
1,483,126,2
3,483,0,
5,483,0,
2,483,110,2
1,483,105,2
2,484,115,2
4,484,0,
4,485,0,
1,485,105,2
2,485,115,2
3,485,0,
2,485,115,2
1,486,110,2
2,486,110,2
5,486,0,
4,487,0,
5,487,0,
4,488,0,
1,488,115,2
2,488,110,2
2,488,115,2
3,489,0,
4,489,0,
1,490,105,2
1,490,110,2
2,490,105,2
3,490,0,
2,490,120,2
5,490,0,
3,490,0,
3,491,0,
3,491,0,
1,491,105,2
1,492,110,2
3,492,0,
4,493,0,
4,493,0,
3,493,0,
3,493,0,
3,493,0,
5,494,0,
4,494,0,
4,494,0,
2,495,115,2
5,495,0,
5,495,0,
1,495,126,2
2,495,110,2
1,495,132,2
4,496,0,
5,496,0,
1,497,110,2
5,497,0,
4,497,0,
3,497,0,
2,498,126,2
4,498,0,
5,498,0,
4,499,0,
4,499,0,
2,499,115,2
5,499,0,
4,499,0,
1,499,120,2
5,499,0,
5,499,0,
4,500,0,
3,500,0,
2,501,132,2
5,501,0,
5,501,0,
4,501,0,
4,502,0,
5,502,0,
3,502,0,
1,502,120,2
5,503,0,
1,504,132,2
3,504,0,
2,504,110,2
1,504,120,2
5,504,0,
3,505,0,
4,505,0,
2,505,132,2
4,505,0,
2,505,110,2
3,505,0,
2,506,138,2
2,506,105,2
4,506,0,
2,506,110,2
1,507,126,2
3,507,0,
4,508,0,
4,508,0,
1,508,110,2
4,508,0,
3,509,0,
3,509,0,
3,509,0,
2,510,105,2
1,510,110,2
5,510,0,
2,510,120,2
3,510,0,
5,510,0,
4,511,0,
1,511,115,2
4,512,0,
2,512,120,2
1,512,126,2
5,512,0,
1,512,110,2
3,512,0,
2,512,105,2
4,513,0,
1,513,126,2
3,514,0,
3,514,0,
2,515,105,2
4,515,0,
4,516,0,
1,516,110,2
3,516,0,
1,516,115,2
5,517,0,
5,517,0,
1,517,120,2
2,517,132,2
4,518,0,
3,519,0,
4,519,0,
2,519,105,2
1,519,120,2
5,519,0,
4,520,0,
5,521,0,
2,521,115,2
4,521,0,
2,521,132,2
3,522,0,
3,522,0,
1,522,105,2
1,523,110,2
5,523,0,
3,523,0,
2,523,115,2
4,523,0,
4,523,0,
2,523,126,2
3,523,0,
1,523,110,2
2,523,105,2
2,524,115,2
2,524,132,2
3,524,0,
2,525,110,2
3,525,0,
2,525,110,2
4,525,0,
1,526,110,2
1,527,138,2
1,527,110,2
4,528,0,
4,528,0,
1,528,126,2
4,528,0,
4,528,0,
1,529,120,2
3,529,0,
2,529,115,2
1,529,110,2
4,530,0,
1,530,105,2
4,530,0,
2,530,138,2
3,531,0,
2,531,110,2
4,531,0,
5,531,0,
5,531,0,
3,532,0,
2,532,138,2
2,532,115,2
4,532,0,
2,532,105,2
3,532,0,
3,533,0,
2,533,105,2
5,533,0,
3,533,0,
2,533,115,2
1,533,105,2
2,533,120,2
1,533,105,2
1,533,110,2
5,534,0,
2,534,110,2
3,535,0,
4,536,0,
3,536,0,
4,536,0,
3,536,0,
5,536,0,
5,537,0,
4,537,0,
4,537,0,
5,538,0,
4,538,0,
2,539,110,2
5,539,0,
1,539,115,2
2,539,110,2
4,540,0,
5,540,0,
5,540,0,
4,540,0,
2,541,120,2
2,541,115,2
4,541,0,
2,541,126,2
2,541,105,2
4,541,0,
5,542,0,
2,542,120,2
5,543,0,
3,543,0,
5,543,0,
5,543,0,
3,543,0,
1,543,110,2
4,544,0,
4,544,0,
1,544,105,2
2,544,132,2
4,544,0,
4,544,0,
3,545,0,
4,545,0,
1,545,126,2
2,545,120,2
2,545,110,2
3,546,0,
2,546,120,2
1,546,120,2
2,546,126,2
1,547,105,2
3,547,0,
1,547,105,2
1,548,105,2
3,548,0,
5,548,0,
5,548,0,
3,548,0,
4,548,0,
2,549,120,2
1,549,105,2
3,550,0,
5,550,0,
4,550,0,
1,550,115,2
1,550,115,2
1,550,126,2
3,551,0,
4,551,0,
5,551,0,
3,551,0,
5,551,0,
1,552,126,2
1,552,110,2
2,552,126,2
1,552,105,2
5,553,0,
5,553,0,
4,553,0,
3,553,0,
5,553,0,
2,554,115,2
2,554,105,2
3,554,0,
2,554,105,2
2,555,120,2
2,555,115,2
5,555,0,
4,555,0,
2,555,115,2
4,555,0,
3,555,0,
4,556,0,
5,556,0,
2,556,105,2
2,556,132,2
2,556,120,2
4,557,0,
2,557,110,2
4,558,0,
2,558,105,2
5,560,0,
4,560,0,
3,560,0,
2,560,110,2
3,560,0,
4,561,0,
1,561,120,2
1,561,115,2
2,562,126,2
2,562,105,2
3,562,0,
1,562,110,2
4,563,0,
3,563,0,
3,563,0,
5,563,0,
4,564,0,
1,564,115,2
1,564,105,2
4,564,0,
5,564,0,
1,565,110,2
4,565,0,
2,565,115,2
4,565,0,
4,566,0,
1,566,110,2
2,566,105,2
4,567,0,
2,567,110,2
4,567,0,
5,567,0,
2,567,110,2
3,567,0,
4,567,0,
2,567,120,2
4,568,0,
5,568,0,
1,568,144,2
3,569,0,
1,569,126,2
5,569,0,
5,569,0,
3,569,0,
4,570,0,
1,570,126,2
5,570,0,
1,570,115,2
4,570,0,
1,571,110,2
5,571,0,
2,571,120,2
1,571,115,2
2,572,115,2
2,572,105,2
5,572,0,
1,572,110,2
3,573,0,
3,573,0,
4,573,0,
3,574,0,
2,574,110,2
1,574,105,2
5,575,0,
4,575,0,
2,575,105,2
5,576,0,
5,576,0,
1,576,110,2
2,576,105,2
1,576,110,2
1,577,115,2
1,577,120,2
3,577,0,
1,577,115,2
2,577,105,2
3,577,0,
1,577,110,2
3,577,0,
4,577,0,
1,578,105,2
5,578,0,
3,578,0,
2,578,126,2
4,578,0,
4,578,0,
5,579,0,
5,579,0,
5,579,0,
3,580,0,
1,580,126,2
3,580,0,
3,580,0,
5,581,0,
1,581,110,2
1,582,105,2
1,582,115,2
4,582,0,
2,582,120,2
4,582,0,
1,583,115,2
4,583,0,
3,583,0,
2,584,115,2
5,584,0,
1,584,110,2
3,584,0,
3,585,0,
2,585,110,2
1,585,105,2
5,585,0,
5,585,0,
5,586,0,
2,586,132,2
2,587,105,2
2,587,132,2
1,587,110,2
4,587,0,
2,588,110,2
2,588,115,2
4,588,0,
2,588,132,2
1,588,115,2
4,588,0,
5,588,0,
3,589,0,
2,589,110,2
4,589,0,
4,589,0,
4,589,0,
1,590,126,2
2,591,126,2
2,591,110,2
1,591,120,2
1,591,105,2
1,591,110,2
5,591,0,
3,592,0,
2,592,110,2
2,592,110,2
2,592,115,2
3,592,0,
4,592,0,
5,592,0,
4,593,0,
4,593,0,
3,593,0,
3,593,0,
4,594,0,
5,594,0,
3,594,0,
3,594,0,
1,594,120,2
3,594,0,
3,594,0,
4,594,0,
5,595,0,
1,595,126,2
1,595,120,2
3,595,0,
3,595,0,
5,595,0,
4,595,0,
2,595,110,2
1,596,138,2
5,596,0,
2,596,110,2
3,596,0,
3,597,0,
1,597,105,2
1,597,110,2
2,597,126,2
4,597,0,
4,598,0,
4,598,0,
3,599,0,
2,599,110,2
5,599,0,
2,600,144,2
5,600,0,
1,600,120,2
5,600,0,
4,600,0,
4,600,0,
3,600,0,
5,601,0,
5,601,0,
2,601,105,2
1,601,115,2
3,602,0,
3,602,0,
1,602,120,2
4,602,0,
4,602,0,
5,602,0,
2,602,110,2
