min_score,max_rent,rent,apt_score
2,2861,2179,3
5,2861,0,
4,2876,0,
5,2888,0,
2,2892,2779,3
1,2901,2179,3
3,2926,2076,3
2,2930,2401,3
2,2933,2179,3
1,2951,2287,3
5,2954,0,
4,2962,0,
2,2969,2076,3
1,2981,2401,3
5,2982,0,
1,2986,2179,3
5,2995,0,
1,2997,2401,3
4,3005,0,
4,3009,0,
2,3009,2179,3
1,3014,1978,3
2,3024,2179,3
2,3034,1978,3
1,3047,1884,3
2,3047,1978,3
3,3047,2287,3
1,3058,2076,3
5,3065,0,
3,3066,2179,3
5,3075,0,
1,3075,2401,3
4,3076,0,
5,3077,0,
1,3088,2076,3
1,3100,2179,3
2,3107,2179,3
4,3109,0,
2,3111,2647,3
4,3112,0,
2,3112,2401,3
4,3123,0,
1,3123,1884,3
1,3124,2076,3
4,3129,0,
2,3136,2076,3
4,3141,0,
1,3159,1884,3
4,3172,0,
4,3174,0,
5,3185,0,
5,3191,0,
1,3197,2179,3
5,3202,0,
5,3213,0,
5,3217,0,
4,3220,0,
4,3239,0,
3,3243,2287,3
3,3248,2401,3
3,3251,1978,3
3,3253,2076,3
2,3257,2076,3
5,3264,0,
1,3313,2647,3
1,3319,2401,3
2,3324,1978,3
4,3325,0,
3,3347,2287,3
4,3349,0,
2,3353,2179,3
1,3362,2179,3
1,3383,2779,3
1,3389,2076,3
4,3400,0,
4,3404,0,
4,3407,0,
5,3418,0,
2,3423,2179,3
5,3428,0,
4,3436,0,
5,3441,0,
4,3443,0,
4,3448,0,
4,3451,0,
2,3459,1978,3
4,3473,0,
5,3479,0,
1,3481,2179,3
1,3487,2076,3
5,3487,0,
2,3488,2521,3
1,3501,2521,3
3,3508,2076,3
4,3512,0,
3,3516,2076,3
4,3521,0,
4,3524,0,
4,3533,0,
1,3540,2076,3
5,3542,0,
4,3543,0,
5,3548,0,
1,3554,2779,3
5,3554,0,
2,3555,2076,3
4,3565,0,
4,3575,0,
5,3586,0,
3,3586,1978,3
5,3591,0,
4,3594,0,
5,3602,0,
4,3602,0,
5,3638,0,
1,3644,2179,3
2,3658,1884,3
4,3664,0,
4,3664,0,
5,3666,0,
5,3680,0,
3,3681,1884,3
4,3692,0,
4,3701,0,
4,3704,0,
2,3707,1978,3
1,3707,2521,3
4,3713,0,
4,3716,0,
2,3736,2401,3
4,3736,0,
5,3750,0,
1,3754,2287,3
4,3761,0,
1,3769,2179,3
4,3772,0,
5,3774,0,
1,3779,2179,3
1,3780,1884,3
3,3781,2647,3
5,3781,0,
5,3791,0,
2,3795,2076,3
1,3797,2179,3
3,3799,2647,3
5,3805,0,
4,3828,0,
4,3838,0,
5,3843,0,
4,3851,0,
5,3858,0,
1,3864,2401,3
2,3874,1978,3
1,3875,2401,3
4,3879,0,
4,3906,0,
4,3906,0,
4,3906,0,
3,3907,2179,3
3,3914,1978,3
1,3914,1978,3
3,3921,2287,3
5,3925,0,
1,3932,2076,3
3,3938,1978,3
4,3939,0,
2,3962,2179,3
2,3963,2287,3
2,3964,2287,3
5,3964,0,
4,3979,0,
2,3984,2287,3
5,3987,0,
3,3990,1978,3
1,4010,2179,3
2,4012,2076,3
5,4026,0,
3,4026,1884,3
5,4039,0,
1,4043,1978,3
3,4057,2401,3
5,4057,0,
2,4108,4101,4
3,4142,3906,4
5,4153,0,
4,4160,4101,4
1,4176,4101,4
1,4187,4101,4
2,4188,1884,3
3,4205,4101,4
2,4208,4101,4
2,4209,2179,3
4,4213,4101,4
3,4216,3906,4
5,4218,0,
1,4218,4101,4
4,4225,4101,4
3,4228,2647,3
1,4242,4101,4
4,4243,4101,4
3,4247,4101,4
2,4248,1978,3
3,4249,4101,4
5,4268,0,
3,4285,4101,4
3,4307,4306,4
4,4308,4306,4
3,4316,4101,4
4,4317,4306,4
3,4323,4101,4
2,4325,4306,4
4,4332,3906,4
5,4337,0,
3,4353,4306,4
4,4356,4306,4
1,4356,4101,4
1,4360,4306,4
5,4374,0,
3,4385,4101,4
3,4408,4306,4
1,4413,4306,4
2,4413,4101,4
5,4418,0,
1,4438,4306,4
2,4478,4101,4
5,4482,0,
5,4483,0,
1,4491,4306,4
4,4492,4306,4
4,4503,4306,4
1,4514,4306,4
1,4521,4101,4
1,4556,4306,4
4,4582,4521,4
3,4584,4521,4
1,4595,4306,4
4,4598,4521,4
5,4606,0,
1,4618,4521,4
3,4623,4521,4
3,4624,4306,4
5,4627,0,
4,4640,4101,4
2,4655,4521,4
1,4660,4306,4
1,4671,4306,4
1,4679,4521,4
5,4683,0,
3,4695,4521,4
2,4754,4521,4
1,4759,4521,4
