min_score,max_rent,rent,apt_score
3,465,0,
3,465,0,
4,466,0,
4,466,0,
3,466,0,
5,466,0,
3,467,0,
4,467,0,
1,467,105,1
2,467,0,
5,468,0,
2,468,0,
4,468,0,
5,468,0,
4,469,0,
1,469,110,1
4,470,0,
4,470,0,
1,470,105,1
2,470,0,
2,471,0,
3,471,0,
5,471,0,
1,472,105,1
3,472,0,
5,472,0,
3,472,0,
4,472,0,
2,473,0,
3,473,0,
3,473,0,
1,475,105,1
3,475,0,
1,476,105,1
5,476,0,
1,477,105,1
5,477,0,
5,477,0,
3,477,0,
1,478,105,1
5,478,0,
4,478,0,
5,478,0,
1,478,105,1
4,478,0,
1,478,105,1
5,479,0,
3,480,0,
1,480,105,1
5,480,0,
2,481,0,
4,481,0,
5,482,0,
4,482,0,
3,482,0,
3,482,0,
4,482,0,
2,482,0,
3,482,0,
2,483,465,2
2,483,0,
3,483,0,
2,483,0,
2,483,465,2
4,483,0,
5,484,0,
4,485,0,
1,485,105,1
3,485,0,
3,485,0,
5,486,0,
1,486,115,1
4,487,0,
2,487,0,
4,487,0,
1,487,110,1
2,487,0,
1,487,105,1
1,487,105,1
4,487,0,
2,487,0,
1,487,105,1
5,488,0,
1,488,105,1
5,488,0,
3,488,0,
3,489,0,
2,489,0,
4,489,0,
5,489,0,
2,489,0,
4,489,0,
2,489,488,2
2,490,488,2
5,490,0,
1,490,105,1
5,490,0,
4,491,0,
3,491,0,
2,492,488,2
1,492,105,1
5,492,0,
4,492,0,
1,492,105,1
4,493,0,
1,493,105,1
5,493,0,
5,493,0,
1,494,105,1
5,494,0,
2,494,0,
1,495,105,1
3,495,0,
4,495,0,
5,496,0,
1,496,110,1
3,496,0,
5,497,0,
3,497,0,
3,497,0,
1,497,110,1
5,498,0,
4,498,0,
2,498,0,
3,498,0,
4,499,0,
5,499,0,
2,499,488,2
4,499,0,
3,499,0,
1,499,105,1
1,499,105,1
3,500,0,
2,500,488,2
1,501,105,1
2,501,488,2
2,501,0,
5,501,0,
5,501,0,
5,502,0,
5,502,0,
3,503,0,
5,503,0,
1,504,105,1
4,504,0,
1,504,105,1
4,505,0,
2,505,0,
4,506,0,
3,506,0,
5,506,0,
5,506,0,
4,506,0,
4,507,0,
5,507,0,
1,507,110,1
4,508,0,
4,509,0,
3,509,0,
4,509,0,
2,509,488,2
1,510,110,1
3,510,0,
3,510,0,
3,511,0,
5,511,0,
3,511,0,
3,512,0,
1,512,110,1
5,512,0,
2,512,488,2
4,512,0,
5,513,0,
4,513,0,
4,513,0,
4,513,0,
3,514,0,
5,514,0,
1,514,110,1
2,514,488,2
4,514,0,
2,514,512,2
4,514,0,
1,514,105,1
2,514,512,2
2,515,488,2
3,515,0,
4,515,0,
5,516,0,
5,516,0,
1,516,110,1
1,517,110,1
1,517,105,1
5,517,0,
2,517,488,2
4,518,0,
5,518,0,
4,518,0,
5,518,0,
5,519,0,
1,519,110,1
3,519,0,
2,519,512,2
5,519,0,
5,520,0,
3,520,0,
4,520,0,
1,520,105,1
2,521,512,2
3,521,0,
5,522,0,
1,522,105,1
5,522,0,
1,523,105,1
4,523,0,
3,523,0,
1,524,105,1
4,524,0,
4,524,0,
1,524,105,1
3,525,0,
3,525,0,
3,525,0,
4,525,0,
3,526,0,
4,526,0,
3,527,0,
4,527,0,
3,527,0,
1,527,110,1
4,528,0,
5,528,0,
4,528,0,
5,528,0,
1,530,105,1
3,530,0,
2,530,512,2
1,530,105,1
2,530,488,2
3,530,0,
2,531,512,2
4,531,0,
2,532,512,2
3,532,0,
5,532,0,
3,532,0,
5,532,0,
3,533,0,
2,533,488,2
2,533,512,2
3,533,0,
2,534,512,2
3,534,0,
1,534,105,1
4,534,0,
5,534,0,
4,534,0,
1,534,110,1
2,535,488,2
3,535,0,
3,535,0,
5,536,0,
4,536,0,
4,536,0,
2,537,0,
5,537,0,
3,538,0,
5,538,0,
2,538,488,2
3,538,0,
4,538,0,
5,538,0,
3,539,0,
5,539,0,
2,539,512,2
1,539,105,1
3,539,0,
5,540,0,
5,541,0,
3,541,0,
2,541,537,2
4,541,0,
3,542,0,
1,543,537,2
4,543,0,
4,543,0,
5,544,0,
3,544,0,
5,544,0,
3,544,0,
5,544,0,
1,544,105,1
1,544,105,1
5,545,0,
2,545,512,2
1,545,105,1
2,545,537,2
1,545,105,1
1,546,105,1
4,546,0,
4,546,0,
5,546,0,
1,546,105,1
4,547,0,
4,547,0,
5,547,0,
1,547,105,1
2,547,537,2
1,547,105,1
5,548,0,
5,548,0,
1,548,105,1
5,548,0,
4,549,0,
5,549,0,
4,549,0,
5,550,0,
1,550,105,1
5,551,0,
1,551,105,1
2,551,488,2
5,552,0,
1,552,105,1
5,552,0,
3,553,0,
4,553,0,
2,553,512,2
2,553,537,2
5,553,0,
1,554,105,1
1,554,105,1
2,555,537,2
4,556,0,
2,556,537,2
5,556,0,
3,556,0,
3,556,0,
1,556,105,1
5,557,0,
1,557,105,1
4,557,0,
2,557,537,2
3,558,0,
2,558,512,2
3,558,0,
5,558,0,
4,558,0,
1,559,105,1
4,559,0,
4,559,0,
4,559,0,
3,560,0,
2,561,537,2
3,561,0,
5,561,0,
4,561,0,
1,561,105,1
3,562,0,
1,562,110,1
4,562,0,
2,562,537,2
1,562,110,1
5,563,0,
4,563,0,
2,563,537,2
2,563,537,2
5,563,0,
3,564,0,
3,564,0,
1,564,105,1
4,564,0,
3,565,0,
2,565,488,2
1,565,105,1
4,565,0,
1,566,110,1
5,566,0,
4,566,0,
5,566,0,
1,567,120,1
4,567,0,
4,567,0,
2,567,563,2
1,568,105,1
2,568,537,2
3,568,0,
5,568,0,
4,568,0,
3,568,0,
4,569,0,
2,569,563,2
1,569,537,2
2,570,537,2
3,570,0,
2,570,563,2
1,571,563,2
4,571,0,
3,571,0,
1,571,105,1
2,571,512,2
2,571,563,2
5,571,0,
2,571,512,2
1,571,110,1
3,572,0,
3,572,0,
3,572,0,
5,573,0,
2,573,537,2
2,573,563,2
3,573,0,
3,573,0,
1,573,105,1
4,573,0,
3,573,0,
2,574,563,2
5,574,0,
5,574,0,
4,575,0,
5,575,0,
2,576,563,2
4,576,0,
4,576,0,
2,576,512,2
3,576,0,
1,577,110,1
5,577,0,
4,577,0,
1,577,110,1
1,577,110,1
3,578,0,
4,578,0,
5,578,0,
3,578,0,
2,578,563,2
5,580,0,
3,581,0,
3,581,0,
2,581,563,2
3,581,0,
5,582,0,
2,582,563,2
1,583,105,1
1,584,105,1
1,584,110,1
5,584,0,
2,584,512,2
4,584,0,
1,585,105,1
3,585,0,
4,585,0,
1,585,105,1
2,585,0,
5,586,0,
4,586,0,
4,586,0,
4,586,0,
5,586,0,
4,587,0,
2,587,512,2
2,587,512,2
4,588,0,
5,588,0,
3,588,0,
5,588,0,
2,588,563,2
2,588,537,2
3,588,0,
5,589,0,
2,589,563,2
3,589,0,
2,589,512,2
4,590,0,
1,590,105,1
3,590,0,
3,590,0,
1,591,105,1
5,591,0,
5,591,0,
4,591,0,
1,591,105,1
2,592,591,2
1,592,105,1
1,592,105,1
3,592,0,
3,592,0,
5,593,0,
4,593,0,
4,593,0,
2,593,591,2
1,593,110,1
3,594,0,
3,594,0,
1,594,105,1
4,594,0,
4,594,0,
5,594,0,
2,595,591,2
2,596,563,2
2,596,488,2
5,596,0,
4,596,0,
4,597,0,
3,598,0,
1,598,512,2
5,598,0,
1,598,105,1
2,598,563,2
1,598,105,1
2,598,537,2
2,598,591,2
2,599,537,2
3,599,0,
5,599,0,
5,600,0,
5,600,0,
4,600,0,
2,600,591,2
3,600,0,
